1002	Canal Point Community Center	12860 U S Hwy 441	Canal Point, FL 33438	
1108	Newhaven Clubhouse	112 Newhaven Blvd	Jupiter, FL 33458	
1110	Tequesta Council Chambers	345 Tequesta Dr	Tequesta, FL 33469	
1112	Tequesta Council Chambers	345 Tequesta Dr	Tequesta, FL 33469	
1114	Tequesta Council Chambers	345 Tequesta Dr	Tequesta, FL 33469	
1116	Tequesta Council Chambers	345 Tequesta Dr	Tequesta, FL 33469	
1118	Tequesta Council Chambers	345 Tequesta Dr	Tequesta, FL 33469	
1120	Tequesta Council Chambers	345 Tequesta Dr	Tequesta, FL 33469	
1122	Tequesta Council Chambers	345 Tequesta Dr	Tequesta, FL 33469	
1124	Riverside Improvement	25 Van Rd	Jupiter, FL 33469	
1126	PBC Fire Rescue #18	777 N U S Hwy 1	Jupiter, FL 33477	
1128	Jupiter Inlet Colony Admin Bldg	50 Colony Rd	Jupiter Inlet Colony, FL 33469	
1130	PBC Fire Rescue #18	777 N U S Hwy 1	Jupiter, FL 33477	
1132	PBC Fire Rescue #18	777 N U S Hwy 1	Jupiter, FL 33477	
1134	PBC Fire Rescue #18	777 N U S Hwy 1	Jupiter, FL 33477	
1136	1st UM Church of Jup-Teq	815 E Indiantown Rd	Jupiter, FL 33477	
1138	Grace Immanuel Bible Church	17475 Jonathan Dr	Jupiter, FL 33477	
1140	Club at Admirals Cove	200 Admirals Cove Blvd	Jupiter, FL 33477	
1142	1st UM Church of Jup-Teq	815 E Indiantown Rd	Jupiter, FL 33477	
1144	1st UM Church of Jup-Teq	815 E Indiantown Rd	Jupiter, FL 33477	
1146	Newhaven Clubhouse	112 Newhaven Blvd	Jupiter, FL 33458	
1148	Oceanview Methodist	701 Ocean Dr	Juno Beach, FL 33408	
1150	Oceanview Methodist	701 Ocean Dr	Juno Beach, FL 33408	
1152	Oceanview Methodist	701 Ocean Dr	Juno Beach, FL 33408	
1154	Holy Spirit Lutheran	13301 Ellison Wilson Rd	Juno Beach, FL 33408	
1156	Holy Spirit Lutheran	13301 Ellison Wilson Rd	Juno Beach, FL 33408	
1158	Holy Spirit Lutheran	13301 Ellison Wilson Rd	Juno Beach, FL 33408	
1160	Holy Spirit Lutheran	13301 Ellison Wilson Rd	Juno Beach, FL 33408	
1162	Holy Spirit Lutheran	13301 Ellison Wilson Rd	Juno Beach, FL 33408	
1164	Club at Admirals Cove	200 Admirals Cove Blvd	Jupiter, FL 33477	
1166	Holy Spirit Lutheran	13301 Ellison Wilson Rd	Juno Beach, FL 33408	
1168	Holy Spirit Lutheran	13301 Ellison Wilson Rd	Juno Beach, FL 33408	
1170	Caloosa POA Meeting Room	14000 Caloosa Blvd	Palm Beach Gardens, FL 33418	
1172	Caloosa POA Meeting Room	14000 Caloosa Blvd	Palm Beach Gardens, FL 33418	
1173	Caloosa POA Meeting Room	14000 Caloosa Blvd	Palm Beach Gardens, FL 33418	
1174	Mirasol Sales and Info Center	11300 Mirasol Way	Palm Beach Gardens, FL 33418	
1176	Mirasol Sales and Info Center	11300 Mirasol Way	Palm Beach Gardens, FL 33418	
1178	Mirasol Sales and Info Center	11300 Mirasol Way	Palm Beach Gardens, FL 33418	
1180	Mirasol Sales and Info Center	11300 Mirasol Way	Palm Beach Gardens, FL 33418	
1182	William T Dwyer High	13601 N Military Trl	Palm Beach Gardens, FL 33418	
1184	Eastpointe Country Club	13560 Eastpointe Blvd	Palm Beach Gardens, FL 33418	
1186	Mirasol Sales and Info Center	11300 Mirasol Way	Palm Beach Gardens, FL 33418	
1188	Westwood Gardens HOA	5601 Golden Eagle Cir	Palm Beach Gardens, FL 33418	
1189	Westwood Gardens HOA	5601 Golden Eagle Cir	Palm Beach Gardens, FL 33418	
1190	Gardens Presbyterian	4677 Hood Rd	Palm Beach Gardens, FL 33418	
1192	Evergrene Clubhouse	650 Evergrene Pkwy	Palm Beach Gardens, FL 33410	
1194	Frenchmans Creek Real Estate Office	13699 Tournament Dr	Palm Beach Gardens, FL 33410	
1196	Gardens Presbyterian	4677 Hood Rd	Palm Beach Gardens, FL 33418	
1198	1st Baptist Church PBG	11980 Alt A1A	Palm Beach Gardens, FL 33410	
1200	Dwight D Eisenhower Elementary	2926 Lone Pine Rd	Palm Beach Gardens, FL 33410	
1202	Cross Community Church	2575 Lone Pine Rd	Palm Beach Gardens, FL 33410	
1204	Holy Spirit Lutheran	13301 Ellison Wilson Rd	Juno Beach, FL 33408	
1206	Holy Spirit Lutheran	13301 Ellison Wilson Rd	Juno Beach, FL 33408	
1208	Juno Beach Town Center	340 Ocean Dr	Juno Beach, FL 33408	
1210	Holy Spirit Lutheran	13301 Ellison Wilson Rd	Juno Beach, FL 33408	
1212	Juno Beach Town Center	340 Ocean Dr	Juno Beach, FL 33408	
1214	Juno Beach Town Center	340 Ocean Dr	Juno Beach, FL 33408	
1216	Oceanview Methodist	701 Ocean Dr	Juno Beach, FL 33408	
1218	Osceola Creek Middle	6775 180th Ave N	Loxahatchee, FL 33470	
1220	Pierce Hammock Elementary	14255 Hamlin Blvd	Loxahatchee, FL 33470	
1222	Sandhill Crane Golf Club	11401 Northlake Blvd	Palm Beach Gardens, FL 33412	
1224	Pierce Hammock Elementary	14255 Hamlin Blvd	Loxahatchee, FL 33470	
1228	Carleton Oaks Clubhouse	8800 Oldham Way	Palm Beach Gardens, FL 33412	
1230	Christ Fellowship Church PBG	5343 Northlake Blvd	Palm Beach Gardens, FL 33418	
1232	Mirasol Sales and Info Center	11300 Mirasol Way	Palm Beach Gardens, FL 33418	
1234	Christ Fellowship Church PBG	5343 Northlake Blvd	Palm Beach Gardens, FL 33418	
1236	Mirasol Sales and Info Center	11300 Mirasol Way	Palm Beach Gardens, FL 33418	
1238	Mirasol Sales and Info Center	11300 Mirasol Way	Palm Beach Gardens, FL 33418	
1240	Timber Trace Elementary	5200 117th Ct N	Palm Beach Gardens, FL 33418	
1242	Christ Fellowship Church PBG	5343 Northlake Blvd	Palm Beach Gardens, FL 33418	
1244	Christ Fellowship Church PBG	5343 Northlake Blvd	Palm Beach Gardens, FL 33418	
1246	Watson B Duncan Middle	5150 117th Ct N	Palm Beach Gardens, FL 33418	
1247	Watson B Duncan Middle	5150 117th Ct N	Palm Beach Gardens, FL 33418	
1248	PBG Community Center	4404 Burns Rd	Palm Beach Gardens, FL 33410	
1250	Palm Beach Gardens High	4245 Holly Dr	Palm Beach Gardens, FL 33410	
1252	Ballen Isles Country Club	100 Ballen Isles Cir	Palm Beach Gardens, FL 33418	
1254	Northlake Nazarene Church	5430 Northlake Blvd	Palm Beach Gardens, FL 33418	
1256	North County Senior Center	5217 Northlake Blvd	Palm Beach Gardens, FL 33418	
1258	North County Senior Center	5217 Northlake Blvd	Palm Beach Gardens, FL 33418	
1260	PBG City Hall Council Room	10500 N Military Trl	Palm Beach Gardens, FL 33410	
1262	PBG Moose Lodge 2010	3600 RCA Blvd	Palm Beach Gardens, FL 33410	
1264	PBG City Hall Council Room	10500 N Military Trl	Palm Beach Gardens, FL 33410	
1266	PBG City Hall Council Room	10500 N Military Trl	Palm Beach Gardens, FL 33410	
1268	PBG Community Center	4404 Burns Rd	Palm Beach Gardens, FL 33410	
1270	PBG Community Center	4404 Burns Rd	Palm Beach Gardens, FL 33410	
1272	Palm Beach Gardens Elementary	10060 Riverside Dr	Palm Beach Gardens, FL 33410	
1274	Palm Beach Gardens High	4245 Holly Dr	Palm Beach Gardens, FL 33410	
1276	Palm Beach Gardens High	4245 Holly Dr	Palm Beach Gardens, FL 33410	
1278	Garden Lodge 366 F&AM	9463 Roan Ln	Palm Beach Gardens, FL 33403	
1280	Pew Leadership Center	9482 MacArthur Blvd	Palm Beach Gardens, FL 33403	
1282	Pew Leadership Center	9482 MacArthur Blvd	Palm Beach Gardens, FL 33403	
1284	Eissey Campus Theater	11051 Campus Dr	Palm Beach Gardens, FL 33410	
1286	PBG Moose Lodge 2010	3600 RCA Blvd	Palm Beach Gardens, FL 33410	
1288	PBG Moose Lodge 2010	3600 RCA Blvd	Palm Beach Gardens, FL 33410	
1290	PBG Moose Lodge 2010	3600 RCA Blvd	Palm Beach Gardens, FL 33410	
1292	PBG Moose Lodge 2010	3600 RCA Blvd	Palm Beach Gardens, FL 33410	
1294	Dwight D Eisenhower Elementary	2926 Lone Pine Rd	Palm Beach Gardens, FL 33410	
1296	Dwight D Eisenhower Elementary	2926 Lone Pine Rd	Palm Beach Gardens, FL 33410	
1298	PBG Moose Lodge 2010	3600 RCA Blvd	Palm Beach Gardens, FL 33410	
1300	Cross Community Church	2575 Lone Pine Rd	Palm Beach Gardens, FL 33410	
1302	Dwight D Eisenhower Elementary	2926 Lone Pine Rd	Palm Beach Gardens, FL 33410	
1304	NPB Community Center	1200 Prosperity Farms Rd	North Palm Beach, FL 33408	
1305	NPB Community Center	1200 Prosperity Farms Rd	North Palm Beach, FL 33408	
1306	Eissey Campus Theater	11051 Campus Dr	Palm Beach Gardens, FL 33410	
1308	Gardens Mall Community Room	3101 PGA Blvd	Palm Beach Gardens, FL 33410	
1310	Eissey Campus Theater	11051 Campus Dr	Palm Beach Gardens, FL 33410	
1312	Gardens Mall Community Room	3101 PGA Blvd	Palm Beach Gardens, FL 33410	
1314	NPB Community Center	1200 Prosperity Farms Rd	North Palm Beach, FL 33408	
1316	NPB Community Center	1200 Prosperity Farms Rd	North Palm Beach, FL 33408	
1318	PBG Moose Lodge 2010	3600 RCA Blvd	Palm Beach Gardens, FL 33410	
1320	NPB Community Center	1200 Prosperity Farms Rd	North Palm Beach, FL 33408	
1322	NPB Community Center	1200 Prosperity Farms Rd	North Palm Beach, FL 33408	
1324	Allamanda Elementary	10300 Allamanda Dr	Palm Beach Gardens, FL 33410	
1326	Allamanda Elementary	10300 Allamanda Dr	Palm Beach Gardens, FL 33410	
1328	Osborne Park Activities Bldg	715 Prosperity Farms Rd	North Palm Beach, FL 33408	
1330	1st Unitarian Church NPB	635 Prosperity Farms Rd	North Palm Beach, FL 33408	
1332	1st Unitarian Church NPB	635 Prosperity Farms Rd	North Palm Beach, FL 33408	
1334	1st Unitarian Church NPB	635 Prosperity Farms Rd	North Palm Beach, FL 33408	
1336	Gardens Mall Community Room	3101 PGA Blvd	Palm Beach Gardens, FL 33410	
1338	Eissey Campus Theater	11051 Campus Dr	Palm Beach Gardens, FL 33410	
1340	Eissey Campus Theater	11051 Campus Dr	Palm Beach Gardens, FL 33410	
1342	NPB Country Club	951 U S Hwy 1	North Palm Beach, FL 33408	
1344	Old Port Cove	132 Lakeshore Dr	North Palm Beach, FL 33408	
1346	Anchorage Activities Bldg	603 Anchorage Dr	North Palm Beach, FL 33408	
1348	NPB Council Chambers	501 U S Hwy 1	North Palm Beach, FL 33408	
1350	Faith Lutheran Church	555 U S Hwy 1	North Palm Beach, FL 33408	
1352	Northlake Nazarene Church	5430 Northlake Blvd	Palm Beach Gardens, FL 33418	
1354	Grove Park Elementary	8330 N Military Trl	Palm Beach Gardens, FL 33410	
1356	Casa Rio Clubhouse	3000 Casa Rio Ct	Riviera Beach, FL 33418	
1358	RB Prep Achievement Academy	7071 Garden Rd	Riviera Beach, FL 33404	
1360	Garden Lodge 366 F&AM	9463 Roan Ln	Palm Beach Gardens, FL 33403	
1362	Grove Park Elementary	8330 N Military Trl	Palm Beach Gardens, FL 33410	
1364	RB Prep Achievement Academy	7071 Garden Rd	Riviera Beach, FL 33404	
1366	Palm Lake Estates - The Palms	7470 42nd Ave N	Riviera Beach, FL 33404	
1368	RB Prep Achievement Academy	7071 Garden Rd	Riviera Beach, FL 33404	
1370	Palm Lake Estates - The Palms	7470 42nd Ave N	Riviera Beach, FL 33404	
1372	Garden Lodge 366 F&AM	9463 Roan Ln	Palm Beach Gardens, FL 33403	
1374	Pew Leadership Center	9482 MacArthur Blvd	Palm Beach Gardens, FL 33403	
1376	Lake Park Town Hall	535 Park Ave	Lake Park, FL 33403	
1378	PBC Fire Rescue #68	1000 Park Ave	Lake Park, FL 33403	
1380	NPB Council Chambers	501 U S Hwy 1	North Palm Beach, FL 33408	
1382	Lake Park Town Hall	535 Park Ave	Lake Park, FL 33403	
1384	Phil Foster Park Marine Center	900 E Blue Heron Blvd	Riviera Beach, FL 33404	
1386	Phil Foster Park Marine Center	900 E Blue Heron Blvd	Riviera Beach, FL 33404	
1388	Palm Beach Shores Town Hall	247 Edwards Ln	Palm Beach Shores, FL 33404	
1389	Palm Beach Shores Town Hall	247 Edwards Ln	Palm Beach Shores, FL 33404	
1390	St Edwards Church	165 N County Road	Palm Beach, FL 33480	
1392	St Edwards Church	165 N County Road	Palm Beach, FL 33480	
1394	Morton & Barbara Mandel Center	340 Seaview Ave	Palm Beach, FL 33480	
2002	Jeaga Middle	3777 N Jog Rd	West Palm Beach, FL 33411	
2004	Grassy Waters Elementary	3550 N Jog Rd	West Palm Beach, FL 33411	
2006	Jeaga Middle	3777 N Jog Rd	West Palm Beach, FL 33411	
2008	Jeaga Middle	3777 N Jog Rd	West Palm Beach, FL 33411	
2010	Cypress Lakes HOA	3445 Cypress Trl	West Palm Beach, FL 33417	
2012	Century Village Clubhouse	200 Century Blvd	West Palm Beach, FL 33417	
2014	Club Baywinds	5200 Baywinds Dr	West Palm Beach, FL 33411	
2016	Andros Isle POA Clubhouse	2400 Victoria Point	West Palm Beach, FL 33411	
2018	Riverwalk Clubhouse	7459 Riverwalk Cir	West Palm Beach, FL 33411	
2020	Jeaga Middle	3777 N Jog Rd	West Palm Beach, FL 33411	
2021	Jeaga Middle	3777 N Jog Rd	West Palm Beach, FL 33411	
2022	Century Village Clubhouse	200 Century Blvd	West Palm Beach, FL 33417	
2024	Century Village Clubhouse	200 Century Blvd	West Palm Beach, FL 33417	
2026	Century Village Clubhouse	200 Century Blvd	West Palm Beach, FL 33417	
2028	Century Village Clubhouse	200 Century Blvd	West Palm Beach, FL 33417	
2030	Benoist Farms Elementary	1765 Benoist Farms Rd	West Palm Beach, FL 33411	
2032	Riverwalk Clubhouse	7459 Riverwalk Cir	West Palm Beach, FL 33411	
2034	Riverwalk Clubhouse	7459 Riverwalk Cir	West Palm Beach, FL 33411	
2036	Turning Points Academy	1950 Benoist Farms Rd	West Palm Beach, FL 33411	
2038	Turning Points Academy	1950 Benoist Farms Rd	West Palm Beach, FL 33411	
2040	Wynnebrook Elementary	1167 Drexel Rd	West Palm Beach, FL 33417	
2041	Wynnebrook Elementary	1167 Drexel Rd	West Palm Beach, FL 33417	
2042	Riverwalk Clubhouse	7459 Riverwalk Cir	West Palm Beach, FL 33411	
2044	St Christophers Episcopal Chr	1063 Haverhill Rd N	West Palm Beach, FL 33417	
2046	Haverhill Town Hall	4585 Charlotte St	Haverhill, FL 33417	
2048	Elks Lodge #1352	6188 Belvedere Rd	West Palm Beach, FL 33413	
2050	Elks Lodge #1352	6188 Belvedere Rd	West Palm Beach, FL 33413	
2052	Elks Lodge #1352	6188 Belvedere Rd	West Palm Beach, FL 33413	
2054	Elks Lodge #1352	6188 Belvedere Rd	West Palm Beach, FL 33413	
2056	Clayton Hutcheson Hall B	559 N Military Trl	West Palm Beach, FL 33415	
2058	Clayton Hutcheson Hall B	559 N Military Trl	West Palm Beach, FL 33415	
2060	West Gate Elementary	1545 Loxahatchee Dr	West Palm Beach, FL 33409	
2062	Belvedere Elementary	3000 Parker Ave	West Palm Beach, FL 33405	
2064	Belvedere Elementary	3000 Parker Ave	West Palm Beach, FL 33405	
2066	Howard Park Community Center	1302 Parker Ave	West Palm Beach, FL 33401	
2068	Holy Spirit Episcopal	1003 Allendale Rd	West Palm Beach, FL 33405	
2070	Belvedere Elementary	3000 Parker Ave	West Palm Beach, FL 33405	
2072	Belvedere Elementary	3000 Parker Ave	West Palm Beach, FL 33405	
2074	Belvedere Elementary	3000 Parker Ave	West Palm Beach, FL 33405	
2076	St Catherine Church	110 Southern Blvd	West Palm Beach, FL 33405	
2078	St Catherine Church	110 Southern Blvd	West Palm Beach, FL 33405	
2080	Everglades Elementary	407 Marginal Rd	West Palm Beach, FL 33411	
2081	Everglades Elementary	407 Marginal Rd	West Palm Beach, FL 33411	
2082	Pine Jog Environmental Center	6301 Summit Blvd	West Palm Beach, FL 33415	
2083	Pine Jog Environmental Center	6301 Summit Blvd	West Palm Beach, FL 33415	
2084	Community Christian Church	521 Jog Rd	West Palm Beach, FL 33415	
2085	Community Christian Church	521 Jog Rd	West Palm Beach, FL 33415	
2086	Community Christian Church	521 Jog Rd	West Palm Beach, FL 33415	
2087	Community Christian Church	521 Jog Rd	West Palm Beach, FL 33415	
2088	Melaleuca Elementary	5759 W Gun Club Rd	West Palm Beach, FL 33415	
2090	Pine Jog Environmental Center	6301 Summit Blvd	West Palm Beach, FL 33415	
2092	Pine Jog Environmental Center	6301 Summit Blvd	West Palm Beach, FL 33415	
2094	Pine Jog Environmental Center	6301 Summit Blvd	West Palm Beach, FL 33415	
2096	1st Church of the Nazarene	5601 Forest Hill Blvd	West Palm Beach, FL 33415	
2097	1st Church of the Nazarene	5601 Forest Hill Blvd	West Palm Beach, FL 33415	
2098	Iglesia Cristo Mi Redentor	588 S Haverhill Rd	West Palm Beach, FL 33415	
2100	Iglesia Cristo Mi Redentor	588 S Haverhill Rd	West Palm Beach, FL 33415	
2102	Union Congregational Church	5088 Summit Blvd	West Palm Beach, FL 33415	
2104	Lake Lytal Park	3645 Gun Club Rd	West Palm Beach, FL 33406	
2106	Main Library	3650 Summit Blvd	West Palm Beach, FL 33406	
2108	Berkshire Elementary	1060 S Kirk Rd	West Palm Beach, FL 33406	
2110	Berkshire Elementary	1060 S Kirk Rd	West Palm Beach, FL 33406	
2112	Palm Springs Middle	1560 Kirk Rd	West Palm Beach, FL 33406	
2114	Main Library	3650 Summit Blvd	West Palm Beach, FL 33406	
2115	The Ark Church	3218 Melaleuca Dr	West Palm Beach, FL 33406	
2116	The Ark Church	3218 Melaleuca Dr	West Palm Beach, FL 33406	
2117	The Ark Church	3218 Melaleuca Dr	West Palm Beach, FL 33406	
2118	Palm Springs Middle	1560 Kirk Rd	West Palm Beach, FL 33406	
2120	Palm Springs Middle	1560 Kirk Rd	West Palm Beach, FL 33406	
2122	Palm Springs Middle	1560 Kirk Rd	West Palm Beach, FL 33406	
2124	Palm Springs Middle	1560 Kirk Rd	West Palm Beach, FL 33406	
2125	St Marys Orthodox Church	1317 Florida Mango Rd	West Palm Beach, FL 33406	
2126	St Marys Orthodox Church	1317 Florida Mango Rd	West Palm Beach, FL 33406	
2127	Lake Clarke Shores Town Hall	1701 Barbados Rd	Lake Clarke Shores, FL 33406	
2128	Palm Springs Middle	1560 Kirk Rd	West Palm Beach, FL 33406	
2130	Cloud Lake Town Hall	100 Lang Rd	Cloud Lake, FL 33406	
2132	Cloud Lake Town Hall	100 Lang Rd	Cloud Lake, FL 33406	
2134	STEM Bldg at S FL Science Ctr	4801 Dreher Trl N	West Palm Beach, FL 33405	
2136	Palmwood Lodge #303	845 Bradley St	West Palm Beach, FL 33405	
2138	Palmwood Lodge #303	845 Bradley St	West Palm Beach, FL 33405	
2140	South Olive Community Center	345 Summa St	West Palm Beach, FL 33405	
2142	Lakeside Presbyterian Church	4601 S Flagler Dr	West Palm Beach, FL 33405	
2144	Lakeside Presbyterian Church	4601 S Flagler Dr	West Palm Beach, FL 33405	
2146	Village Walk HOA Clubhouse	2500 Village Walk Cir	Wellington, FL 33414	
2148	Liberty Park Elementary	6601 Constitution Way	Greenacres, FL 33413	
2150	River Bridge Activities Center	100 River Bridge Blvd	Greenacres, FL 33413	
2152	Pine Ridge North II	600 Sea Pine Way	Greenacres, FL 33415	
2154	Forest Hill Elementary	5555 Purdy Ln	West Palm Beach, FL 33415	
2156	Cresthaven Emory Aud	2530 Emory Dr E	West Palm Beach, FL 33415	
2158	Community Of Hope	2341 S Military Trl	West Palm Beach, FL 33415	
2160	Cresthaven Barkley Aud	2605 Barkley Dr E	West Palm Beach, FL 33415	
2162	Cresthaven Ashley Aud	2885 Ashley Dr E	West Palm Beach, FL 33415	
2164	Covered Bridge Clubhouse	7290 Covered Bridge Blvd	Lake Worth, FL 33467	
2166	Poinciana Clubhouse	3536 Via Poinciana	Lake Worth, FL 33467	
2168	First Baptist Church GA	201 Swain Blvd	Greenacres, FL 33463	
2170	Liberty Park Elementary	6601 Constitution Way	Greenacres, FL 33413	
2172	First Baptist Church GA	201 Swain Blvd	Greenacres, FL 33463	
2174	First Baptist Church GA	201 Swain Blvd	Greenacres, FL 33463	
2182	Greenacres Community Center	501 Swain Blvd	Greenacres, FL 33463	
2184	American Polish Club	4725 Lake Worth Rd	Greenacres, FL 33463	
2186	American Polish Club	4725 Lake Worth Rd	Greenacres, FL 33463	
2188	St Lukes United Methodist Chr	165 Ohio Rd	Lake Worth, FL 33467	
2190	Lucerne Pointe Clubhouse	4580 Lucerne Lakes Blvd	Lake Worth, FL 33467	
2192	Fountains Of Palm Beach	4615 Fountains Dr	Lake Worth, FL 33467	
2194	LC Swain Middle	5332 Lake Worth Rd	Greenacres, FL 33463	
2196	Pine Ridge South IV Clubhouse	400 Pine Glen Ln	Greenacres, FL 33463	
2198	American Finnish Club	908 Lehto Ln	Lake Worth, FL 33461	
2202	LC Swain Middle	5332 Lake Worth Rd	Greenacres, FL 33463	
2204	Heritage Elementary	5100 Melaleuca Ln	Greenacres, FL 33463	
2206	Heritage Elementary	5100 Melaleuca Ln	Greenacres, FL 33463	
2208	American Finnish Club	908 Lehto Ln	Lake Worth, FL 33461	
2210	American Polish Club	4725 Lake Worth Rd	Greenacres, FL 33463	
2212	American Polish Club	4725 Lake Worth Rd	Greenacres, FL 33463	
2214	Indian Pines Elementary	6000 Oak Royal Dr	Lake Worth, FL 33463	
2216	Indian Pines Elementary	6000 Oak Royal Dr	Lake Worth, FL 33463	
2218	Tradewinds Middle	5090 Haverhill Rd S	Greenacres, FL 33463	
3002	Palm Springs Middle	1560 Kirk Rd	West Palm Beach, FL 33406	
3004	Community Of Hope	2341 S Military Trl	West Palm Beach, FL 33415	
3006	Faith Presbyterian	275 Alemeda Dr	Palm Springs, FL 33461	
3008	Palm Springs Middle	1560 Kirk Rd	West Palm Beach, FL 33406	
3010	Faith Presbyterian	275 Alemeda Dr	Palm Springs, FL 33461	
3012	Emmanuel Baptist Church	1901 Barbados Rd	West Palm Beach, FL 33406	
3014	Lake Clarke Shores Town Hall	1701 Barbados Rd	Lake Clarke Shores, FL 33406	
3016	Community Of Hope	2341 S Military Trl	West Palm Beach, FL 33415	
3018	Palm Springs Middle	1560 Kirk Rd	West Palm Beach, FL 33406	
3020	Palm Springs Village Hall	226 Cypress Ln	Palm Springs, FL 33461	
3022	Oasis De Amor Baptist Church	2835 Gulfstream Rd	Lake Worth, FL 33461	
3024	Palm Springs Library	217 Cypress Ln	Palm Springs, FL 33461	
3026	Palm Springs Village Hall	226 Cypress Ln	Palm Springs, FL 33461	
3028	Palm Springs Village Hall	226 Cypress Ln	Palm Springs, FL 33461	
3030	Palm Springs Village Hall	226 Cypress Ln	Palm Springs, FL 33461	
3032	Special Olympics of PBC	2728 Lake Worth Rd	Lake Worth, FL 33461	
3034	Sunlight Community Church	1325 N A St	Lake Worth Beach, FL 33460	
3036	Sunlight Community Church	1325 N A St	Lake Worth Beach, FL 33460	
3038	Sunlight Community Church	1325 N A St	Lake Worth Beach, FL 33460	
3040	1st Congregational Church	1415 N K St	Lake Worth Beach, FL 33460	
3042	1st Congregational Church	1415 N K St	Lake Worth Beach, FL 33460	
3044	Holy Redeemer Church	3730 Kirk Rd	Palm Springs, FL 33461	
3048	Holy Redeemer Church	3730 Kirk Rd	Palm Springs, FL 33461	
3050	Holy Redeemer Church	3730 Kirk Rd	Palm Springs, FL 33461	
